{
{TIME:1552587181,OUT:DEAD},
{TIME:1552580471,LOC:(27.3394031;-82.3995558)},
{TIME:1552580431,LOC:(27.3393646;-82.3996486)},
{TIME:1552580391,LOC:(27.3393673;-82.3995799)},
{TIME:1552580354,LOC:(27.3393799;-82.3996092)},
{TIME:1552580351,LOC:(27.3394338;-82.3996726)},
{TIME:1552580330,LOC:(27.3393757;-82.3995859)},
{TIME:1552580289,LOC:(27.3393959;-82.3995683)},
{TIME:1552580249,LOC:(27.3393679;-82.3996117)},
{TIME:1552580229,LOC:(27.3394;-82.399669)},
{TIME:1552580207,LOC:(27.3395393;-82.3996319)},
{TIME:1552580179,LOC:(27.3392464;-82.3996024)},
{TIME:1552580139,LOC:(27.3391652;-82.3996052)},
{TIME:1552580097,LOC:(27.3392166;-82.3996368)},
{TIME:1552580057,LOC:(27.3391741;-82.39961)},
{TIME:1552580036,LOC:(27.3391994;-82.3996249)},
{TIME:1552579956,LOC:(27.3392014;-82.3996077)},
{TIME:1552579916,LOC:(27.3392132;-82.3995799)},
{TIME:1552579876,LOC:(27.3392329;-82.3995673)},
{TIME:1552579849,LOC:(27.3392417;-82.3995598)},
{TIME:1552579824,LOC:(27.3395235;-82.3996079)},
{TIME:1552579804,LOC:(27.3393912;-82.3995778)},
{TIME:1552579781,LOC:(27.339539;-82.3996318)},
{TIME:1552579761,LOC:(27.3394544;-82.3995791)},
{TIME:1552579741,LOC:(27.339412;-82.3996114)},
{TIME:1552579721,LOC:(27.3393983;-82.3996069)},
{TIME:1552579701,LOC:(27.3394146;-82.399596)},
{TIME:1552579673,LOC:(27.3394095;-82.3996414)},
{TIME:1552579652,LOC:(27.3395559;-82.3996389)},
{TIME:1552579631,LOC:(27.3395102;-82.3996459)},
{TIME:1552579611,LOC:(27.3395505;-82.3996508)},
{TIME:1552579591,LOC:(27.3395602;-82.3996313)},
{TIME:1552579571,LOC:(27.3394641;-82.3995136)},
{TIME:1552579520,LOC:(27.3392152;-82.3996266)},
{TIME:1552579480,LOC:(27.3392711;-82.3996704)},
